,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni-L,Zn,Ti,B,Be,Bi,Ca,Cd,Ga,Hg,In,Na,P,Pb,Sn,Sr,V,Zr,Ecorr[mV]
100,97.54,1.688,0.102,0.078,0.499,0.009,0.002,0.004,0.007,0.01,0.0003,0.0,0.001,0.0,0.0,0.018,0.0,0.0,0.0002,0.002,0.003,0.003,0.0002,0.013,0.016,-713.532265610872
101,97.51,1.689,0.102,0.079,0.519,0.012,0.002,0.003,0.007,0.011,0.0006,0.0,0.0,0.0,0.0,0.014,0.0003,0.0,0.0003,0.002,0.005,0.007,0.0001,0.013,0.021,-713.616266142033
102,97.5,1.684,0.102,0.078,0.538,0.011,0.002,0.004,0.007,0.012,0.0007,0.0,0.0,0.0,0.0,0.015,0.0006,0.0,0.0003,0.002,0.001,0.0,0.0,0.013,0.026,-713.700635749633
103,97.48,1.688,0.103,0.078,0.551,0.011,0.002,0.004,0.007,0.012,0.0005,0.0,0.0,0.0,0.0,0.013,0.0001,0.0,0.0002,0.002,0.004,0.005,0.0002,0.015,0.025,-713.77477564685
104,97.44,1.69,0.107,0.079,0.57,0.009,0.002,0.005,0.008,0.014,0.0005,0.0,0.0,0.0,0.0,0.014,0.0002,0.0,0.0002,0.0019,0.011,0.011,0.0002,0.012,0.029,-713.859897777834
105,97.44,1.68,0.11,0.077,0.593,0.01,0.001,0.006,0.007,0.013,0.0006,0.0,0.0,0.0,0.0,0.015,0.0003,0.0,0.0002,0.002,0.003,0.001,0.0001,0.014,0.026,-713.945336840923
106,97.43,1.679,0.11,0.077,0.611,0.009,0.001,0.006,0.005,0.012,0.0006,0.0,0.0,0.0001,0.0,0.015,0.0004,0.0,0.0003,0.002,0.003,0.001,0.0001,0.013,0.027,-714.020357933642
107,97.38,1.682,0.107,0.079,0.633,0.01,0.001,0.006,0.007,0.014,0.0008,0.0,0.0,0.0001,0.0,0.016,0.0,0.0,0.0003,0.002,0.015,0.004,0.0001,0.012,0.028,-714.106249696711
108,97.35,1.688,0.11,0.077,0.653,0.012,0.001,0.004,0.005,0.014,0.0006,0.0,0.0,0.0,0.0,0.014,0.0005,0.0,0.0002,0.002,0.011,0.005,0.0,0.014,0.035,-714.192187726112
109,97.31,1.7,0.115,0.079,0.674,0.011,0.001,0.005,0.006,0.014,0.0005,0.0,0.001,0.0,0.0,0.014,0.0001,0.0,0.0002,0.002,0.004,0.01,0.0002,0.013,0.04,-714.267524922734
110,97.3,1.695,0.118,0.078,0.69,0.013,0.001,0.006,0.007,0.014,0.0009,0.0001,0.0,0.0,0.0,0.014,0.0,0.0,0.0003,0.002,0.009,0.001,0.0002,0.013,0.04,-714.353568939805
111,97.29,1.684,0.12,0.078,0.709,0.012,0.001,0.005,0.009,0.015,0.0009,0.0,0.0,0.0001,0.0,0.014,0.0012,0.0,0.0002,0.002,0.003,0.002,0.0001,0.014,0.039,-714.439620883817
112,97.25,1.683,0.125,0.078,0.726,0.013,0.001,0.005,0.008,0.015,0.0014,0.0,0.0,0.0001,0.0,0.016,0.0001,0.0,0.0002,0.002,0.01,0.013,0.0002,0.014,0.043,-714.51500567201
113,97.22,1.703,0.126,0.078,0.749,0.011,0.001,0.005,0.006,0.017,0.0012,0.0,0.0,0.0001,0.0,0.014,0.0,0.0,0.0001,0.002,0.01,0.006,0.0001,0.013,0.04,-714.600941502824
114,97.2,1.702,0.13,0.077,0.768,0.011,0.002,0.005,0.006,0.016,0.001,0.0001,0.0,0.0,0.0,0.013,0.0,0.0,0.0002,0.002,0.009,0.007,0.0002,0.014,0.042,-714.675991793711
115,97.19,1.694,0.125,0.078,0.787,0.011,0.002,0.006,0.006,0.018,0.0013,0.0,0.0,0.0,0.0,0.013,0.0005,0.0,0.0002,0.0019,0.012,0.001,0.0001,0.012,0.044,-714.761523271212
116,97.18,1.681,0.131,0.078,0.802,0.01,0.001,0.006,0.005,0.018,0.0011,0.0,0.0,0.0,0.0,0.015,0.0001,0.0,0.0003,0.0019,0.009,0.001,0.0,0.012,0.046,-714.846825370537
117,97.17,1.683,0.131,0.078,0.818,0.009,0.001,0.005,0.006,0.02,0.001,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0002,0.002,0.001,0.001,0.0001,0.013,0.042,-714.921269630758
118,97.16,1.678,0.128,0.078,0.837,0.008,0.001,0.005,0.008,0.016,0.0011,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0003,0.0019,0.004,0.005,0.0001,0.012,0.046,-715.00596390587
119,97.11,1.691,0.132,0.078,0.857,0.01,0.001,0.005,0.008,0.016,0.0008,0.0,0.0,0.0,0.0,0.014,0.0004,0.0,0.0003,0.0019,0.008,0.007,0.0001,0.013,0.051,-715.090182490836
