,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni-L,Zn,Ti,B,Be,Bi,Ca,Cd,Ga,Hg,In,Na,P,Pb,Sn,Sr,V,Zr,Ecorr[mV]
5001,63.98,33.425,1.279,0.076,0.515,0.066,0.003,0.017,0.002,0.002,0.0024,0.0008,0.411,0.0024,0.002,0.002,0.0113,0.0,0.0042,0.0026,0.006,0.102,0.0482,0.029,0.011,-728.011498850962
5002,65.6,32.483,0.965,0.067,0.375,0.034,0.002,0.012,0.001,0.001,0.0014,0.0004,0.321,0.0003,0.0,0.003,0.0087,0.0,0.0013,0.0025,0.001,0.063,0.0216,0.021,0.009,-727.996677159632
5003,68.83,29.636,0.775,0.063,0.311,0.026,0.002,0.01,0.001,0.0,0.0009,0.0003,0.257,0.0,0.001,0.003,0.0074,0.0,0.0003,0.0024,0.0,0.036,0.0125,0.021,0.007,-727.981535019295
5004,73.55,25.166,0.626,0.057,0.269,0.026,0.001,0.008,0.002,0.001,0.001,0.0002,0.205,0.0,0.0,0.004,0.0063,0.0,0.0,0.0023,0.003,0.034,0.0088,0.019,0.008,-727.96541726708
5005,78.94,19.99,0.496,0.058,0.226,0.028,0.001,0.007,0.001,0.001,0.0012,0.0002,0.186,0.0,0.001,0.005,0.0054,0.0,0.0,0.0023,0.0,0.02,0.0068,0.014,0.015,-727.948131445086
5006,82.89,16.182,0.398,0.06,0.199,0.028,0.001,0.006,0.001,0.001,0.001,0.0001,0.173,0.0,0.0,0.008,0.003,0.0,0.0,0.0022,0.001,0.025,0.0055,0.015,0.003,-727.930297435436
5007,85.01,14.158,0.344,0.059,0.189,0.027,0.0,0.005,0.005,0.002,0.0009,0.0002,0.148,0.0,0.0,0.008,0.0047,0.0,0.0,0.0022,0.0,0.008,0.0044,0.015,0.005,-727.910750234966
5008,86.46,12.78,0.3,0.058,0.177,0.026,0.001,0.005,0.002,0.003,0.0008,0.0001,0.14,0.0,0.0,0.009,0.002,0.0,0.0,0.0022,0.0,0.007,0.004,0.016,0.005,-727.890882819523
5009,87.51,11.759,0.276,0.061,0.17,0.032,0.001,0.004,0.005,0.003,0.0007,0.0002,0.127,0.0,0.0,0.01,0.0011,0.0,0.0,0.0022,0.0,0.008,0.0033,0.016,0.01,-727.870054447648
5010,88.39,10.916,0.254,0.063,0.163,0.031,0.001,0.006,0.005,0.003,0.0007,0.0001,0.123,0.0,0.0,0.011,0.001,0.0,0.0,0.0021,0.0,0.005,0.0026,0.013,0.006,-727.84837201026
5011,89.0,10.328,0.236,0.061,0.16,0.03,0.001,0.005,0.004,0.004,0.0007,0.0001,0.113,0.0,0.0,0.012,0.0028,0.0,0.0,0.0021,0.0,0.018,0.002,0.013,0.005,-727.825846570176
5012,89.36,10.006,0.227,0.061,0.157,0.033,0.0,0.005,0.005,0.002,0.0009,0.0,0.104,0.0,0.0,0.011,0.0008,0.0,0.0,0.0021,0.0,0.011,0.0015,0.012,0.003,-727.802410769453
5013,89.62,9.773,0.216,0.06,0.149,0.032,0.0,0.004,0.002,0.002,0.0003,0.0,0.097,0.0,0.001,0.01,0.0021,0.0,0.0,0.0021,0.0,0.015,0.0012,0.009,0.006,-727.778188727759
5014,89.83,9.559,0.211,0.061,0.151,0.03,0.0,0.004,0.003,0.004,0.0007,0.0001,0.096,0.0,0.0,0.01,0.0004,0.0,0.0,0.0021,0.0,0.015,0.0009,0.012,0.005,-727.753153521531
5015,89.93,9.502,0.2,0.061,0.143,0.031,0.001,0.004,0.005,0.005,0.0006,0.0001,0.081,0.0,0.0,0.011,0.0007,0.0,0.0,0.0021,0.0,0.007,0.0007,0.012,0.005,-727.726404718027
5016,90.03,9.41,0.195,0.061,0.144,0.034,0.001,0.004,0.003,0.002,0.0004,0.0,0.083,0.0,0.0,0.011,0.0015,0.0,0.0,0.0021,0.0,0.002,0.0005,0.01,0.001,-727.699768784437
5017,90.0,9.453,0.186,0.061,0.138,0.032,0.0,0.004,0.006,0.004,0.0008,0.0,0.075,0.0,0.0,0.009,0.0014,0.0,0.0,0.0021,0.0,0.01,0.0004,0.011,0.006,-727.672307041757
5018,90.02,9.455,0.177,0.059,0.138,0.031,0.001,0.004,0.006,0.003,0.0003,0.0001,0.07,0.0,0.0,0.01,0.0011,0.0,0.0,0.0021,0.0,0.009,0.0002,0.008,0.004,-727.643099223321
5019,89.98,9.51,0.173,0.057,0.137,0.033,0.0,0.005,0.003,0.004,0.0002,0.0,0.069,0.0,0.0,0.01,0.0008,0.0,0.0,0.0021,0.0,0.003,0.0002,0.01,0.004,-727.61405211866
5020,90.03,9.472,0.17,0.058,0.132,0.034,0.0,0.004,0.005,0.003,0.0001,0.0001,0.061,0.0,0.0,0.01,0.0005,0.0,0.0,0.002,0.0,0.005,0.0001,0.009,0.002,-727.584277735094
5021,90.02,9.504,0.164,0.056,0.13,0.029,0.001,0.004,0.002,0.004,0.0003,0.0,0.059,0.0,0.0,0.011,0.0005,0.0,0.0,0.0021,0.0,0.003,0.0,0.009,0.001,-727.552705994186
5022,90.05,9.473,0.164,0.058,0.125,0.03,0.0,0.004,0.004,0.004,0.0002,0.0,0.049,0.0,0.001,0.009,0.0017,0.0,0.0,0.0021,0.0,0.011,0.0,0.01,0.0,-727.521354040744
5023,90.14,9.411,0.155,0.056,0.125,0.03,0.0,0.005,0.006,0.003,0.0002,0.0001,0.042,0.0,0.0,0.011,0.0004,0.0,0.0,0.002,0.0,0.005,0.0,0.011,0.0,-727.48819427574
5024,90.09,9.466,0.153,0.059,0.118,0.032,0.0,0.004,0.003,0.006,0.0001,0.0001,0.047,0.0,0.0,0.009,0.0001,0.0,0.0,0.002,0.0,0.002,0.0001,0.01,0.003,-727.455294732443
5025,90.21,9.357,0.144,0.058,0.118,0.031,0.0,0.004,0.004,0.004,0.0003,0.0,0.045,0.0,0.0,0.01,0.0009,0.0,0.0,0.0021,0.0,0.001,0.0,0.01,0.0,-727.420580244012
5026,90.2,9.363,0.146,0.058,0.115,0.034,0.0,0.004,0.003,0.004,0.0,0.0,0.046,0.0,0.0,0.011,0.0016,0.0,0.0,0.0021,0.0,0.002,0.0,0.008,0.001,-727.385030592538
5027,90.36,9.231,0.135,0.058,0.116,0.031,0.001,0.004,0.003,0.005,0.0002,0.0,0.04,0.0,0.0,0.01,0.0001,0.0,0.0,0.002,0.0,0.001,0.0,0.009,0.0,-727.349985733395
5028,90.45,9.146,0.128,0.057,0.111,0.03,0.0,0.004,0.005,0.004,0.0002,0.0,0.036,0.0,0.0,0.01,0.0004,0.0,0.0,0.0021,0.0,0.002,0.0,0.01,0.002,-727.312929807083
5029,90.61,8.997,0.122,0.056,0.109,0.033,0.0,0.004,0.005,0.005,0.0001,0.0,0.036,0.0,0.0,0.009,0.0009,0.0,0.0,0.0021,0.0,0.0,0.0,0.007,0.001,-727.275088570224
5030,90.72,8.886,0.124,0.056,0.106,0.033,0.0,0.004,0.007,0.004,0.0002,0.0,0.03,0.0,0.0,0.01,0.0014,0.0,0.0,0.002,0.0,0.003,0.0,0.009,0.0,-727.237856666124
5031,90.84,8.766,0.122,0.056,0.105,0.033,0.0,0.004,0.004,0.006,0.0,0.0,0.032,0.0,0.0,0.01,0.0005,0.0,0.0,0.0021,0.0,0.003,0.0,0.01,0.002,-727.19852389939
5032,91.11,8.514,0.113,0.056,0.102,0.034,0.0,0.005,0.004,0.007,0.0003,0.0001,0.03,0.0,0.0,0.011,0.0008,0.0,0.0,0.0021,0.0,0.0,0.0,0.007,0.002,-727.15855742584
5033,91.28,8.351,0.11,0.057,0.102,0.035,0.0,0.004,0.005,0.007,0.0,0.0,0.025,0.0,0.0,0.011,0.0004,0.0,0.0,0.0021,0.0,0.0,0.0,0.007,0.0,-727.119172396719
5034,91.49,8.147,0.107,0.056,0.099,0.033,0.0,0.004,0.004,0.004,0.0002,0.0,0.03,0.0,0.0,0.012,0.0001,0.0,0.0,0.0021,0.0,0.001,0.0,0.01,0.001,-727.077695513623
5035,91.68,7.957,0.108,0.056,0.096,0.035,0.0,0.004,0.004,0.007,0.0001,0.0,0.025,0.0,0.0,0.013,0.0003,0.0,0.0,0.0021,0.001,0.003,0.0,0.01,0.0,-727.035476417539
5036,91.9,7.75,0.101,0.055,0.096,0.032,0.0,0.004,0.005,0.005,0.0001,0.0,0.025,0.0,0.0,0.012,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.01,0.001,-726.992591751572
5037,92.09,7.558,0.102,0.056,0.094,0.03,0.0,0.003,0.002,0.005,0.0002,0.0,0.03,0.0,0.0,0.011,0.0001,0.0,0.0,0.0021,0.0,0.006,0.0,0.012,0.0,-726.950409490924
5038,92.39,7.267,0.097,0.055,0.09,0.033,0.0,0.004,0.006,0.005,0.0002,0.0,0.025,0.0,0.0,0.012,0.0003,0.0,0.0,0.0021,0.0,0.002,0.0,0.009,0.001,-726.906136240431
5039,92.58,7.072,0.094,0.054,0.092,0.035,0.001,0.004,0.006,0.006,0.0001,0.0,0.019,0.0,0.0,0.012,0.0005,0.0,0.0,0.002,0.0,0.005,0.0,0.011,0.001,-726.861149155843
5040,92.83,6.835,0.093,0.054,0.09,0.035,0.0,0.005,0.006,0.006,0.0004,0.0,0.018,0.0,0.0,0.012,0.0008,0.0,0.0,0.0021,0.001,0.0,0.0,0.009,0.003,-726.81541694763
5041,93.03,6.642,0.09,0.055,0.087,0.032,0.001,0.004,0.004,0.006,0.0001,0.0,0.021,0.0,0.0,0.012,0.0009,0.0,0.0,0.002,0.0,0.0,0.0,0.009,0.0,-726.769058170065
5042,93.25,6.413,0.091,0.055,0.09,0.035,0.0,0.004,0.009,0.008,0.0002,0.0,0.021,0.0,0.0,0.012,0.0006,0.0,0.0,0.002,0.0,0.001,0.0,0.008,0.0,-726.723625855851
5043,93.46,6.206,0.089,0.056,0.088,0.034,0.0,0.004,0.006,0.006,0.0001,0.0,0.021,0.0,0.0,0.013,0.0008,0.0,0.0,0.0021,0.0,0.003,0.0,0.013,0.001,-726.675908121298
5044,93.7,5.98,0.082,0.055,0.087,0.034,0.0,0.003,0.003,0.008,0.0002,0.0,0.019,0.0,0.0,0.013,0.0008,0.0,0.0,0.002,0.0,0.0,0.0,0.01,0.001,-726.627508096751
5045,93.91,5.765,0.084,0.054,0.083,0.035,0.0,0.004,0.002,0.009,0.0002,0.0,0.019,0.0,0.0,0.014,0.001,0.0,0.0,0.002,0.0,0.001,0.0,0.011,0.002,-726.578351350256
5046,94.12,5.56,0.082,0.053,0.085,0.033,0.0,0.003,0.005,0.006,0.0003,0.0,0.017,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.002,0.0,0.012,0.002,-726.528644553063
5047,94.34,5.358,0.078,0.053,0.08,0.034,0.0,0.003,0.004,0.007,0.0001,0.0,0.018,0.0,0.0,0.012,0.0001,0.0,0.0,0.0021,0.0,0.005,0.0,0.01,0.0,-726.478191976451
5048,94.54,5.158,0.079,0.053,0.081,0.034,0.0,0.003,0.005,0.007,0.0001,0.0,0.015,0.0,0.0,0.012,0.0018,0.0,0.0,0.0021,0.0,0.002,0.0,0.009,0.0,-726.428795770331
5049,94.72,4.983,0.079,0.053,0.082,0.037,0.0,0.003,0.005,0.006,0.0001,0.0,0.011,0.0,0.0,0.012,0.0002,0.0,0.0,0.0021,0.0,0.0,0.0,0.008,0.001,-726.377094600083
5050,94.81,4.877,0.079,0.054,0.082,0.035,0.0,0.003,0.004,0.007,0.0003,0.0,0.017,0.0,0.0,0.012,0.0002,0.0,0.0,0.0021,0.0,0.002,0.0,0.008,0.001,-726.324789766143
5051,95.02,4.659,0.08,0.054,0.082,0.035,0.0,0.004,0.006,0.009,0.0001,0.0,0.021,0.0,0.0,0.014,0.0001,0.0,0.0,0.002,0.0,0.004,0.0,0.011,0.001,-726.271845322442
5052,95.17,4.521,0.08,0.053,0.08,0.035,0.0,0.004,0.004,0.007,0.0002,0.0,0.015,0.0,0.0,0.013,0.0001,0.0,0.0,0.0021,0.0,0.0,0.0,0.012,0.0,-726.218267137033
5053,95.32,4.377,0.079,0.053,0.077,0.034,0.0,0.003,0.003,0.009,0.0002,0.0,0.019,0.0,0.0,0.012,0.0002,0.0,0.0,0.0021,0.0,0.003,0.0,0.011,0.0,-726.164061054847
5054,95.48,4.213,0.075,0.055,0.075,0.037,0.0,0.003,0.005,0.009,0.0002,0.0,0.016,0.0,0.0,0.013,0.0005,0.0,0.0,0.0021,0.0,0.006,0.0,0.011,0.0,-726.10927783417
5055,95.6,4.082,0.08,0.052,0.077,0.037,0.0,0.004,0.008,0.01,0.0004,0.0001,0.018,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.001,0.006,0.0,0.01,0.001,-726.055741861116
5056,95.75,3.94,0.079,0.052,0.077,0.037,0.0,0.004,0.007,0.008,0.0002,0.0,0.014,0.0,0.0,0.012,0.0001,0.0,0.0,0.002,0.0,0.002,0.0,0.012,0.001,-725.999754139297
5057,95.9,3.806,0.076,0.053,0.077,0.034,0.0,0.004,0.006,0.009,0.0,0.0,0.014,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.008,0.0,-725.943255257706
5058,96.01,3.691,0.074,0.053,0.075,0.036,0.0,0.004,0.005,0.008,0.0001,0.0,0.015,0.0,0.0,0.014,0.0001,0.0,0.0,0.0021,0.0,0.0,0.0,0.011,0.0,-725.886160066132
5059,96.1,3.602,0.074,0.052,0.077,0.036,0.0,0.004,0.007,0.009,0.0002,0.0,0.015,0.0,0.0,0.013,0.0004,0.0,0.0,0.0021,0.0,0.0,0.0,0.011,0.0,-725.828521599216
5060,96.21,3.491,0.071,0.052,0.074,0.037,0.0,0.004,0.006,0.011,0.0002,0.0,0.012,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.013,0.0,-725.770299082883
5061,96.31,3.397,0.072,0.051,0.073,0.037,0.0,0.003,0.006,0.011,0.0,0.0,0.016,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.011,0.0,-725.711546438369
5062,96.39,3.321,0.074,0.051,0.072,0.038,0.0,0.004,0.004,0.009,0.0001,0.0,0.013,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.01,0.0,-725.652270647627
5063,96.48,3.234,0.07,0.051,0.073,0.035,0.0,0.004,0.004,0.012,0.0,0.0,0.014,0.0,0.0,0.012,0.0006,0.0,0.0,0.0021,0.0,0.0,0.0,0.009,0.0,-725.592380161699
5064,96.59,3.122,0.072,0.052,0.071,0.036,0.0,0.004,0.006,0.01,0.0,0.0,0.012,0.0,0.0,0.013,0.0004,0.0,0.0,0.0021,0.0,0.002,0.0,0.011,0.0,-725.532028214174
5065,96.65,3.059,0.073,0.051,0.072,0.038,0.0,0.004,0.006,0.008,0.0001,0.0,0.009,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.001,0.0,0.01,0.0,-725.471122722925
5066,96.71,2.998,0.07,0.051,0.074,0.039,0.0,0.004,0.008,0.01,0.0002,0.0,0.01,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.012,0.0,-725.409567952342
5067,96.8,2.915,0.067,0.05,0.073,0.037,0.0,0.003,0.008,0.011,0.0003,0.0,0.011,0.0,0.0,0.013,0.0001,0.0,0.0,0.002,0.0,0.0,0.0,0.013,0.0,-725.347417715038
5068,96.86,2.851,0.068,0.049,0.072,0.04,0.0,0.003,0.007,0.013,0.0001,0.0,0.008,0.0,0.0,0.012,0.0002,0.0,0.0,0.0021,0.0,0.0,0.0,0.013,0.001,-725.284830565872
5069,96.94,2.781,0.066,0.048,0.071,0.039,0.0,0.004,0.005,0.01,0.0004,0.0,0.01,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.012,0.0,-725.221710714837
5070,97.0,2.724,0.066,0.05,0.071,0.036,0.0,0.004,0.004,0.011,0.0001,0.0,0.008,0.0,0.0,0.014,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.012,0.0,-725.157958858109
5071,97.07,2.648,0.067,0.048,0.072,0.039,0.0,0.004,0.004,0.012,0.0002,0.0,0.011,0.0,0.0,0.015,0.0001,0.0,0.0,0.0021,0.0,0.001,0.0,0.012,0.0,-725.093630566522
5072,97.11,2.614,0.067,0.049,0.071,0.037,0.0,0.003,0.004,0.014,0.0,0.0,0.007,0.0,0.0,0.014,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.01,0.0,-725.028783127193
5073,97.17,2.55,0.066,0.048,0.072,0.036,0.0,0.003,0.006,0.013,0.0,0.0,0.008,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.012,0.0,-724.963368285101
5074,97.2,2.507,0.069,0.049,0.074,0.036,0.0,0.004,0.007,0.014,0.0001,0.0,0.01,0.0,0.0,0.014,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.013,0.0,-724.897390130706
5075,97.24,2.477,0.069,0.048,0.07,0.036,0.0,0.004,0.005,0.013,0.0002,0.0,0.012,0.0,0.0,0.012,0.0003,0.0,0.0,0.0021,0.0,0.0,0.0,0.011,0.0,-724.830852757428
5076,97.32,2.396,0.067,0.049,0.072,0.037,0.0,0.004,0.006,0.01,0.0001,0.0,0.008,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.013,0.0,-724.763815099557
5077,97.36,2.362,0.067,0.049,0.073,0.037,0.0,0.004,0.006,0.013,0.0002,0.0,0.009,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.011,0.0,-724.696227221632
5078,97.39,2.337,0.063,0.047,0.073,0.037,0.0,0.004,0.004,0.011,0.0004,0.0,0.008,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.012,0.001,-724.628148850307
5079,97.45,2.271,0.067,0.047,0.074,0.038,0.0,0.004,0.005,0.012,0.0004,0.0,0.005,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.011,0.0,-724.559473197933
5080,97.48,2.235,0.069,0.047,0.074,0.036,0.0,0.004,0.005,0.012,0.0004,0.0,0.006,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.001,0.0002,0.011,0.0,-724.490203178607
5081,97.52,2.191,0.069,0.047,0.077,0.036,0.0,0.004,0.005,0.012,0.0005,0.0,0.009,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.012,0.0,-724.420512150176
5082,97.54,2.171,0.066,0.049,0.079,0.038,0.0,0.004,0.005,0.013,0.0002,0.0,0.005,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.01,0.001,-724.360238036763
5083,97.55,2.157,0.067,0.048,0.08,0.036,0.0,0.004,0.009,0.012,0.0,0.0,0.008,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.013,0.0,-724.289443848693
5084,97.59,2.113,0.072,0.047,0.081,0.037,0.0,0.004,0.007,0.014,0.0001,0.0,0.011,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.012,0.0,-724.218068792229
5085,97.6,2.101,0.067,0.047,0.085,0.037,0.0,0.004,0.007,0.013,0.0003,0.0,0.011,0.0,0.0,0.014,0.0,0.0,0.0,0.0021,0.0,0.0,0.0001,0.014,0.0,-724.146232390367
5086,97.64,2.06,0.064,0.047,0.086,0.037,0.0,0.004,0.009,0.015,0.0001,0.0,0.008,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0003,0.013,0.0,-724.073881252198
5087,97.68,2.012,0.069,0.047,0.089,0.036,0.0,0.004,0.008,0.015,0.0001,0.0,0.011,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.0,0.0003,0.013,0.0,-724.00101950109
5088,97.7,1.983,0.069,0.047,0.095,0.037,0.0,0.003,0.008,0.014,0.0002,0.0,0.006,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.001,0.0003,0.015,0.002,-723.927532567381
5089,97.72,1.965,0.069,0.046,0.098,0.037,0.0,0.004,0.007,0.015,0.0004,0.0,0.008,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0003,0.014,0.0,-723.853601554229
5090,97.74,1.949,0.068,0.046,0.099,0.037,0.0,0.004,0.008,0.015,0.0004,0.0,0.006,0.0,0.0,0.013,0.0002,0.0,0.0,0.0021,0.0,0.001,0.0002,0.012,0.0,-723.77923166817
5091,97.77,1.914,0.069,0.046,0.104,0.038,0.0,0.003,0.007,0.016,0.0005,0.0,0.01,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.0,0.0002,0.011,0.001,-723.704367691336
5092,97.75,1.92,0.07,0.046,0.109,0.035,0.0,0.004,0.007,0.016,0.0004,0.0,0.009,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.0,0.0002,0.012,0.003,-723.639700676407
5093,97.78,1.895,0.07,0.047,0.113,0.033,0.0,0.004,0.007,0.016,0.0005,0.0,0.008,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.0,0.0003,0.014,0.001,-723.563798665799
5094,97.77,1.886,0.073,0.046,0.117,0.038,0.0,0.004,0.006,0.016,0.0007,0.0,0.006,0.0,0.0,0.014,0.0,0.0,0.0,0.0021,0.0,0.001,0.0003,0.016,0.002,-723.487474310667
5095,97.79,1.861,0.076,0.045,0.125,0.04,0.0,0.004,0.009,0.017,0.0006,0.0,0.005,0.0,0.0,0.013,0.0001,0.0,0.0,0.0021,0.0,0.0,0.0002,0.013,0.0,-723.410609354867
5096,97.8,1.839,0.073,0.045,0.13,0.036,0.0,0.004,0.006,0.016,0.0004,0.0,0.014,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.008,0.0003,0.011,0.003,-723.333331033188
5097,97.8,1.829,0.074,0.047,0.133,0.033,0.0,0.003,0.007,0.017,0.0006,0.0,0.009,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.01,0.0003,0.013,0.005,-723.255582121316
5098,97.81,1.817,0.078,0.046,0.142,0.037,0.0,0.004,0.006,0.018,0.0004,0.0,0.008,0.0,0.0,0.014,0.0,0.0,0.0,0.0021,0.0,0.005,0.0003,0.012,0.004,-723.188520216382
5099,97.83,1.799,0.077,0.046,0.148,0.037,0.0,0.004,0.008,0.019,0.0004,0.0,0.005,0.0,0.0,0.014,0.0,0.0,0.0,0.0021,0.0,0.002,0.0003,0.012,0.001,-723.109899124633
5100,97.82,1.802,0.075,0.047,0.157,0.034,0.0,0.004,0.009,0.018,0.0002,0.0,0.003,0.0,0.0,0.013,0.0,0.0,0.0,0.002,0.0,0.002,0.0003,0.013,0.004,-723.030882486956
5101,97.81,1.798,0.076,0.046,0.162,0.036,0.0,0.004,0.006,0.019,0.0003,0.0,0.007,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.001,0.0003,0.012,0.008,-722.951348230121
5102,97.84,1.763,0.078,0.046,0.171,0.035,0.0,0.004,0.006,0.019,0.0002,0.0,0.006,0.0,0.0,0.012,0.0002,0.0,0.0,0.0021,0.0,0.0,0.0002,0.014,0.009,-722.8714273498
5103,97.83,1.759,0.078,0.046,0.181,0.035,0.0,0.004,0.005,0.022,0.0005,0.0,0.008,0.0,0.0,0.013,0.0,0.0,0.0,0.002,0.0,0.002,0.0004,0.012,0.004,-722.791060721005
5104,97.83,1.736,0.082,0.046,0.192,0.036,0.001,0.004,0.008,0.023,0.0002,0.0,0.011,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.0,0.0004,0.013,0.005,-722.721791836707
5105,97.82,1.743,0.081,0.045,0.198,0.038,0.001,0.004,0.005,0.022,0.0003,0.0,0.01,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.0,0.0004,0.012,0.008,-722.640598991597
5106,97.83,1.726,0.078,0.044,0.206,0.038,0.0,0.004,0.007,0.022,0.0005,0.0,0.009,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.001,0.0004,0.011,0.004,-722.559037189895
5107,97.84,1.707,0.085,0.044,0.218,0.037,0.0,0.004,0.005,0.023,0.0004,0.0,0.007,0.0,0.0,0.012,0.0001,0.0,0.0,0.0021,0.0,0.003,0.0002,0.011,0.004,-722.476980802827
5108,97.81,1.714,0.087,0.046,0.227,0.034,0.0,0.004,0.006,0.024,0.0002,0.0,0.007,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.005,0.0003,0.011,0.014,-722.394629923815
5109,97.78,1.725,0.087,0.048,0.239,0.036,0.0,0.004,0.007,0.025,0.0003,0.0,0.012,0.0,0.0,0.012,0.0001,0.0,0.0,0.0021,0.0,0.0,0.0005,0.01,0.016,-722.32364820192
5110,97.79,1.698,0.089,0.047,0.252,0.035,0.0,0.004,0.006,0.026,0.0005,0.0,0.011,0.0,0.0,0.011,0.0002,0.0,0.0,0.002,0.0,0.003,0.0004,0.011,0.012,-722.240443982803
5111,97.79,1.692,0.091,0.045,0.257,0.036,0.0,0.004,0.006,0.024,0.0005,0.0,0.008,0.0,0.0,0.012,0.0002,0.0,0.0,0.0021,0.0,0.004,0.0004,0.012,0.014,-722.156892763481
5112,97.78,1.69,0.088,0.045,0.272,0.035,0.0,0.004,0.005,0.026,0.0005,0.0,0.011,0.0,0.0,0.014,0.0001,0.0,0.0,0.002,0.0,0.0,0.0004,0.013,0.013,-722.072866161065
5113,97.78,1.673,0.091,0.045,0.285,0.036,0.0,0.004,0.004,0.026,0.0007,0.0,0.009,0.0,0.0,0.014,0.0,0.0,0.0,0.0021,0.0,0.0,0.0004,0.013,0.015,-722.000478434911
5114,97.77,1.671,0.091,0.047,0.294,0.036,0.0,0.004,0.006,0.026,0.0007,0.0,0.009,0.0,0.0,0.011,0.0,0.0,0.0,0.0021,0.0,0.0,0.0005,0.013,0.018,-721.915760140667
5115,97.74,1.677,0.09,0.046,0.312,0.034,0.001,0.005,0.005,0.027,0.0006,0.0001,0.009,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.008,0.0005,0.012,0.016,-721.830712258894
5116,97.72,1.671,0.096,0.045,0.327,0.034,0.0,0.004,0.006,0.029,0.0007,0.0,0.011,0.0,0.0,0.012,0.0004,0.0,0.0,0.0021,0.0,0.004,0.0005,0.014,0.018,-721.74527201049
5117,97.7,1.669,0.104,0.047,0.342,0.037,0.0,0.004,0.006,0.031,0.0007,0.0,0.009,0.0,0.0,0.011,0.0,0.0,0.0,0.0021,0.0,0.0,0.0006,0.012,0.02,-721.671733879076
5118,97.69,1.661,0.102,0.048,0.36,0.036,0.0,0.004,0.007,0.032,0.0008,0.0,0.008,0.0,0.0,0.012,0.0,0.0,0.0,0.0021,0.0,0.001,0.0004,0.01,0.019,-721.585566147003
5119,97.65,1.667,0.108,0.047,0.374,0.036,0.0,0.005,0.008,0.031,0.0005,0.0,0.009,0.0,0.0,0.013,0.0,0.0,0.0,0.0021,0.0,0.013,0.0004,0.011,0.021,-721.499017725956
5120,97.67,1.653,0.101,0.047,0.388,0.037,0.0,0.005,0.006,0.033,0.0006,0.0,0.009,0.0,0.0,0.012,0.0,0.0,0.0,0.002,0.0,0.004,0.0003,0.012,0.023,-721.412161346398
5121,97.63,1.662,0.101,0.048,0.4,0.037,0.001,0.004,0.007,0.035,0.0007,0.0,0.01,0.0,0.0,0.011,0.0,0.0,0.0,0.0021,0.0,0.007,0.0004,0.013,0.03,-721.337392913047
