Proj no.;TO no.;Coil no.;Sample no.;WS;Brazed;Depth [μm];Unit;Al;Si;Fe;Cu;Mn;Mg;Cr;Ni-L;Ni-H;Zn;Ti;B;Be;Bi;Ca;Cd;Ga;Hg;In;Li;Na;P;Pb;Sn;Sr;V;Zr;
G17-0054;432431;S02798;P18-00305BL;0;1;10,4394;m%;97,34;2,257;0,075;0,1;0,164;0,011;0,002;0,004;0;0,007;0,008;0,0005;0;0;0;0;0,017;0;0;0;0,0001;0,002;0;0,006;0;0,014;0;-711,6289159
G17-0054;432431;S02798;P18-00305BL;0;1;10,5885;m%;97,4;2,21;0,074;0,1;0,169;0,011;0,002;0,004;0;0,008;0,006;0,0001;0;0;0;0;0,013;0;0;0;0,0001;0,002;0;0;0;0,013;0,003;-711,6734715
G17-0054;432431;S02798;P18-00305BL;0;1;10,7376;m%;97,45;2,144;0,073;0,1;0,177;0,012;0,002;0,004;0;0,007;0,007;0,0001;0;0;0;0;0,016;0;0;0;0,0001;0,002;0;0;0;0,012;0,001;-711,7203716
G17-0054;432431;S02798;P18-00305BL;0;1;10,8868;m%;97,47;2,127;0,07;0,1;0,181;0,013;0,001;0,005;0;0,008;0,006;0,0003;0;0;0;0;0,017;0;0;0;0,0001;0,002;0;0;0;0,013;0;-711,7695684
G17-0054;432431;S02798;P18-00305BL;0;1;11,0174;m%;97,49;2,102;0,069;0,1;0,186;0,012;0,001;0,004;0;0,009;0,006;0,0001;0;0;0;0;0,016;0,0001;0;0;0,0002;0,002;0;0,001;0;0,014;0;-711,8144285
G17-0054;432431;S02798;P18-00305BL;0;1;11,1667;m%;97,53;2,056;0,068;0,1;0,194;0,013;0,002;0,004;0;0,006;0,007;0,0005;0;0;0;0;0,016;0;0;0;0,0002;0,002;0;0;0;0,012;0,002;-711,8676946
G17-0054;432431;S02798;P18-00305BL;0;1;11,316;m%;97,55;2,024;0,072;0,1;0,199;0,012;0,002;0,005;0;0,009;0,009;0,0007;0;0;0;0;0,014;0,0004;0;0;0,0002;0,002;0;0;0,0001;0,012;0,001;-711,9230003
G17-0054;432431;S02798;P18-00305BL;0;1;11,4655;m%;97,57;1,997;0,07;0,1;0,207;0,01;0,002;0,004;0;0,009;0,008;0,0007;0;0;0;0;0,014;0;0;0;0,0001;0,002;0;0,006;0,0001;0,012;0,004;-711,9803457
G17-0054;432431;S02798;P18-00305BL;0;1;11,5964;m%;97,57;1,986;0,073;0,1;0,216;0,01;0,002;0,004;0;0,007;0,008;0,0003;0;0;0;0;0,014;0;0;0;0,0002;0,0019;0;0,007;0,0001;0,014;0,004;-712,0321108
G17-0054;432431;S02798;P18-00305BL;0;1;11,746;m%;97,59;1,956;0,076;0,1;0,223;0,011;0,002;0,004;0;0,006;0,009;0,0006;0;0;0;0;0,016;0;0;0;0,0003;0,002;0;0;0;0,014;0,003;-712,0929792
G17-0054;432431;S02798;P18-00305BL;0;1;11,8957;m%;97,63;1,914;0,074;0,1;0,231;0,011;0,002;0,005;0;0,008;0,009;0,0006;0;0;0;0;0,017;0;0;0;0,0002;0,002;0;0,001;0,0001;0,014;0,001;-712,1556398
G17-0054;432431;S02798;P18-00305BL;0;1;12,0456;m%;97,63;1,903;0,074;0,1;0,238;0,01;0,001;0,004;0;0,008;0,009;0,0002;0;0;0;0;0,015;0,0001;0;0;0,0002;0,002;0;0,004;0,0001;0,013;0,004;-712,2200649
G17-0054;432431;S02798;P18-00305BL;0;1;12,1769;m%;97,64;1,866;0,076;0,1;0,252;0,012;0,002;0,005;0;0,011;0,01;0,0002;0;0;0;0;0,016;0;0;0;0,0002;0,002;0,001;0,008;0,0001;0,012;0,007;-712,2778195
G17-0054;432431;S02798;P18-00305BL;0;1;12,3269;m%;97,62;1,873;0,077;0,1;0,265;0,012;0,002;0,004;0;0,006;0,011;0,0007;0;0;0;0;0,015;0;0;0;0,0001;0,002;0,001;0,006;0,0001;0,013;0,007;-712,3452463
