Proj no.;TO no.;Coil no.;Sample no.;WS;Brazed;Depth [μm];Unit;Al;Si;Fe;Cu;Mn;Mg;Cr;Ni-L;Ni-H;Zn;Ti;B;Be;Bi;Ca;Cd;Ga;Hg;In;Li;Na;P;Pb;Sn;Sr;V;Zr;
G17-0138;424932;P96322;P18-00053LL;0;1;85,4808;m%;97,37;0,059;0,133;0,499;1,335;0,314;0;0,007;0;0,034;0,18;0,0023;0;0;0,0003;0;0,019;0,0001;0;0;0;0,0021;0,046;0,002;0;0,009;0;-674,9742735
G17-0138;424932;P96322;P18-00053LL;0;1;85,587;m%;97,37;0,059;0,133;0,499;1,334;0,314;0;0,007;0;0,035;0,18;0,0023;0,0001;0;0,0003;0;0,019;0,0004;0;0;0;0,0021;0,041;0;0;0,009;0;-674,9810427
G17-0138;424932;P96322;P18-00053LL;0;1;85,6932;m%;97,37;0,059;0,133;0,499;1,334;0,314;0;0,007;0;0,033;0,18;0,0024;0;0;0,0003;0;0,019;0,0001;0;0;0;0,0021;0,041;0;0;0,007;0;-674,9878104
G17-0138;424932;P96322;P18-00053LL;0;1;85,7994;m%;97,36;0,059;0,132;0,499;1,334;0,314;0;0,008;0;0,034;0,181;0,0024;0;0;0,0002;0;0,02;0,0004;0;0;0;0,0021;0,047;0;0;0,006;0;-674,994576
G17-0138;424932;P96322;P18-00053LL;0;1;85,9057;m%;97,37;0,058;0,132;0,499;1,334;0,314;0;0,008;0;0,034;0,182;0,0024;0;0;0,0003;0;0,019;0,0003;0;0;0;0,0021;0,041;0;0;0,006;0;-675,0013452
G17-0138;424932;P96322;P18-00053LL;0;1;86,012;m%;97,38;0,058;0,132;0,498;1,334;0,314;0;0,008;0;0,035;0,182;0,0024;0;0;0,0003;0;0,019;0,0005;0;0;0;0,0021;0,041;0;0;0,008;0;-675,0081112
G17-0138;424932;P96322;P18-00053LL;0;1;86,1183;m%;97,36;0,057;0,132;0,499;1,334;0,314;0;0,008;0;0,038;0,182;0,0026;0;0;0,0003;0;0,019;0;0;0;0;0,0021;0,042;0;0;0,008;0;-675,0148739
G17-0138;424932;P96322;P18-00053LL;0;1;86,2247;m%;97,36;0,057;0,133;0,499;1,334;0,315;0;0,007;0;0,037;0,182;0,0024;0;0;0,0005;0;0,02;0,0006;0;0;0;0,0021;0,033;0,002;0;0,008;0;-675,0216392
G17-0138;424932;P96322;P18-00053LL;0;1;86,331;m%;97,35;0,057;0,133;0,499;1,333;0,315;0;0,007;0;0,039;0,182;0,0024;0;0;0,0003;0;0,02;0,0007;0;0;0;0,0021;0,042;0;0;0,007;0;-675,0283946
G17-0138;424932;P96322;P18-00053LL;0;1;86,4374;m%;97,37;0,058;0,133;0,499;1,333;0,315;0;0,007;0;0,037;0,182;0,0025;0;0;0,0004;0;0,019;0,0005;0;0;0;0,0021;0,042;0;0;0,006;0;-675,0351527
G17-0138;424932;P96322;P18-00053LL;0;1;86,5437;m%;97,37;0,058;0,133;0,499;1,333;0,316;0;0,007;0;0,035;0,182;0,0026;0;0;0,0003;0;0,02;0,0002;0;0;0;0,0021;0,039;0;0;0,007;0;-675,041901
G17-0138;424932;P96322;P18-00053LL;0;1;86,6501;m%;97,35;0,058;0,133;0,499;1,334;0,316;0;0,007;0;0,038;0,182;0,0024;0;0;0,0002;0;0,02;0,0005;0;0;0;0,0021;0,041;0;0;0,008;0;-675,0486526
G17-0138;424932;P96322;P18-00053LL;0;1;86,7565;m%;97,36;0,057;0,132;0,5;1,334;0,316;0;0,008;0;0,038;0,183;0,0024;0;0;0,0003;0;0,02;0,0001;0;0;0;0,0021;0,04;0;0;0,006;0;-675,0554015
G17-0138;424932;P96322;P18-00053LL;0;1;86,8629;m%;97,35;0,057;0,133;0,5;1,333;0,316;0;0,008;0;0,038;0,182;0,0027;0;0;0,0003;0;0,021;0,001;0;0;0;0,0021;0,041;0;0;0,007;0;-675,0621485
G17-0138;424932;P96322;P18-00053LL;0;1;86,9694;m%;97,36;0,057;0,133;0,5;1,333;0,317;0;0,008;0;0,04;0,181;0,0029;0;0;0,0004;0;0,02;0;0;0;0;0,0021;0,034;0;0;0,008;0;-675,0689005
G17-0138;424932;P96322;P18-00053LL;0;1;87,076;m%;97,35;0,057;0,133;0,5;1,333;0,317;0;0,008;0;0,039;0,181;0,0029;0;0;0,0003;0;0,02;0;0;0;0;0,0021;0,038;0;0;0,007;0;-675,0756585
G17-0138;424932;P96322;P18-00053LL;0;1;87,1826;m%;97,37;0,058;0,134;0,5;1,333;0,317;0;0,008;0;0,037;0,181;0,0025;0;0;0,0003;0;0,021;0;0;0;0;0,0021;0,039;0;0;0,007;0;-675,0824171
G17-0138;424932;P96322;P18-00053LL;0;1;87,2893;m%;97,36;0,058;0,134;0,5;1,333;0,317;0;0,008;0;0,038;0,181;0,0025;0;0;0,0003;0;0,019;0,0001;0;0;0;0,0021;0,038;0,001;0;0,007;0;-675,0891839
G17-0138;424932;P96322;P18-00053LL;0;1;87,3959;m%;97,38;0,058;0,134;0,501;1,333;0,317;0;0,008;0;0,039;0,181;0,0027;0;0;0,0004;0;0,02;0,0001;0;0;0;0,002;0,036;0;0;0,007;0;-675,0959475
G17-0138;424932;P96322;P18-00053LL;0;1;87,5027;m%;97,36;0,057;0,134;0,501;1,334;0,316;0;0,008;0;0,039;0,181;0,0025;0,0001;0;0,0004;0;0,018;0,0001;0;0;0;0,0021;0,038;0;0;0,008;0;-675,1027284
G17-0138;424932;P96322;P18-00053LL;0;1;87,6094;m%;97,36;0,057;0,135;0,501;1,334;0,316;0;0,007;0;0,041;0,181;0,0024;0,0001;0;0,0004;0;0,018;0;0;0;0;0,0021;0,032;0,003;0;0,009;0;-675,1095094
G17-0138;424932;P96322;P18-00053LL;0;1;87,734;m%;97,35;0,057;0,136;0,501;1,334;0,316;0;0,007;0;0,04;0,181;0,0024;0;0;0,0004;0;0,02;0,0001;0;0;0;0,002;0,04;0,002;0;0,008;0;-675,1174382
G17-0138;424932;P96322;P18-00053LL;0;1;87,8408;m%;97,35;0,057;0,136;0,501;1,334;0,316;0;0,008;0;0,041;0,181;0,0026;0;0;0,0003;0;0,019;0,0015;0;0;0;0,0021;0,038;0,003;0;0,007;0;-675,1242456
G17-0138;424932;P96322;P18-00053LL;0;1;87,9475;m%;97,35;0,057;0,137;0,501;1,334;0,316;0;0,008;0;0,041;0,181;0,0026;0;0;0,0003;0;0,02;0,0002;0;0;0;0,0021;0,042;0;0;0,007;0;-675,1310592
G17-0138;424932;P96322;P18-00053LL;0;1;88,0542;m%;97,36;0,057;0,137;0,501;1,335;0,316;0;0,008;0;0,039;0,18;0,0023;0;0;0,0004;0;0,02;0;0;0;0;0,002;0,034;0;0;0,008;0;-675,1378877
G17-0138;424932;P96322;P18-00053LL;0;1;88,1611;m%;97,34;0,056;0,137;0,501;1,335;0,317;0;0,008;0;0,04;0,18;0,0022;0;0;0,0004;0;0,019;0,0001;0;0;0;0,0021;0,047;0;0;0,008;0;-675,1447464
G17-0138;424932;P96322;P18-00053LL;0;1;88,2681;m%;97,35;0,055;0,137;0,501;1,336;0,317;0;0,007;0;0,041;0,18;0,0025;0;0;0,0003;0;0,018;0,0002;0;0;0;0,0021;0,039;0;0;0,006;0;-675,1516317
G17-0138;424932;P96322;P18-00053LL;0;1;88,3751;m%;97,35;0,055;0,137;0,501;1,338;0,317;0;0,007;0;0,043;0,18;0,0026;0;0;0,0004;0;0,018;0;0;0;0;0,0021;0,043;0;0;0,007;0;-675,15854
G17-0138;424932;P96322;P18-00053LL;0;1;88,4821;m%;97,36;0,055;0,138;0,501;1,338;0,317;0;0,007;0;0,042;0,18;0,0028;0,0001;0;0,0003;0;0,019;0;0;0;0;0,0021;0,037;0;0;0,006;0;-675,1654744
G17-0138;424932;P96322;P18-00053LL;0;1;88,5892;m%;97,36;0,055;0,138;0,501;1,337;0,318;0;0,008;0;0,043;0,179;0,0024;0;0;0,0003;0;0,019;0;0;0;0;0,0021;0,039;0;0;0,008;0;-675,1724447
G17-0138;424932;P96322;P18-00053LL;0;1;88,6962;m%;97,35;0,054;0,138;0,501;1,337;0,318;0;0,008;0;0,041;0,18;0,0024;0;0;0,0003;0;0,02;0,0004;0;0;0;0,002;0,04;0,001;0;0,007;0;-675,1794412
G17-0138;424932;P96322;P18-00053LL;0;1;88,8032;m%;97,34;0,053;0,137;0,502;1,337;0,317;0;0,008;0;0,043;0,18;0,0026;0;0;0,0004;0;0,019;0,0001;0;0;0;0,002;0,033;0,004;0;0,007;0;-675,186474
G17-0138;424932;P96322;P18-00053LL;0;1;88,9103;m%;97,35;0,053;0,137;0,501;1,337;0,317;0;0,008;0;0,043;0,179;0,0027;0;0;0,0004;0;0,018;0;0;0;0;0,0021;0,037;0;0;0,007;0;-675,1935535
G17-0138;424932;P96322;P18-00053LL;0;1;89,0174;m%;97,34;0,053;0,137;0,501;1,337;0,317;0;0,007;0;0,045;0,18;0,003;0;0;0,0004;0;0,019;0;0;0;0;0,0021;0,045;0,003;0;0,006;0;-675,2006773
G17-0138;424932;P96322;P18-00053LL;0;1;89,1245;m%;97,34;0,053;0,136;0,501;1,336;0,318;0;0,008;0;0,043;0,18;0,0028;0;0;0,0002;0;0,019;0,0005;0;0;0;0,0021;0,042;0,003;0;0,006;0;-675,2078493
G17-0138;424932;P96322;P18-00053LL;0;1;89,2318;m%;97,37;0,054;0,136;0,501;1,335;0,318;0;0,008;0;0,043;0,179;0,003;0;0;0,0003;0;0,019;0,0016;0;0;0;0,0021;0,037;0;0;0,007;0;-675,2150877
G17-0138;424932;P96322;P18-00053LL;0;1;89,339;m%;97,36;0,054;0,135;0,501;1,334;0,319;0;0,008;0;0,045;0,178;0,0026;0;0;0,0004;0;0,018;0,0002;0;0;0;0,002;0,041;0;0;0,008;0;-675,2223769
G17-0138;424932;P96322;P18-00053LL;0;1;89,4463;m%;97,36;0,054;0,135;0,501;1,332;0,319;0;0,008;0;0,044;0,178;0,0026;0;0;0,0005;0;0,019;0;0;0;0;0,0021;0,038;0;0;0,008;0;-675,2297352
G17-0138;424932;P96322;P18-00053LL;0;1;89,5536;m%;97,35;0,054;0,134;0,501;1,331;0,318;0;0,007;0;0,047;0,178;0,0029;0;0;0,0004;0;0,019;0;0;0;0;0,002;0,038;0;0;0,006;0;-675,2371609
G17-0138;424932;P96322;P18-00053LL;0;1;89,6609;m%;97,36;0,054;0,134;0,501;1,33;0,318;0;0,007;0;0,045;0,178;0,003;0;0;0,0004;0;0,019;0,0001;0;0;0;0,002;0,036;0,001;0;0,007;0;-675,2446593
G17-0138;424932;P96322;P18-00053LL;0;1;89,7683;m%;97,36;0,054;0,133;0,501;1,329;0,319;0;0,007;0;0,047;0,178;0,0029;0;0;0,0004;0;0,02;0;0;0;0;0,002;0,042;0,001;0;0,007;0;-675,252243
G17-0138;424932;P96322;P18-00053LL;0;1;89,8756;m%;97,36;0,054;0,133;0,5;1,328;0,32;0;0,008;0;0,045;0,178;0,0029;0;0;0,0002;0;0,02;0,0009;0;0;0;0,0021;0,038;0;0;0,006;0;-675,2599034
G17-0138;424932;P96322;P18-00053LL;0;1;89,983;m%;97,36;0,054;0,134;0,5;1,327;0,321;0;0,008;0;0,046;0,178;0,0024;0;0;0,0003;0;0,019;0,0007;0;0;0;0,002;0,041;0,001;0;0,006;0;-675,2676609
G17-0138;424932;P96322;P18-00053LL;0;1;90,0904;m%;97,36;0,053;0,133;0,501;1,325;0,32;0;0,007;0;0,046;0,177;0,0022;0;0;0,0004;0;0,019;0;0;0;0;0,002;0,043;0,004;0;0,006;0;-675,2755144
G17-0138;424932;P96322;P18-00053LL;0;1;90,198;m%;97,35;0,053;0,134;0,501;1,325;0,321;0;0,007;0;0,049;0,176;0,0021;0;0;0,0004;0;0,019;0;0;0;0;0,002;0,047;0,002;0;0,006;0;-675,2834853
G17-0138;424932;P96322;P18-00053LL;0;1;90,3054;m%;97,36;0,052;0,134;0,501;1,325;0,321;0;0,008;0;0,049;0,176;0,0022;0;0;0,0004;0;0,019;0;0;0;0;0,002;0,045;0;0;0,007;0;-675,2915505
G17-0138;424932;P96322;P18-00053LL;0;1;90,4129;m%;97,36;0,052;0,133;0,501;1,325;0,321;0;0,008;0;0,049;0,176;0,0021;0;0;0,0005;0;0,02;0,0003;0;0;0;0,0021;0,05;0;0;0,007;0;-675,2997393
G17-0138;424932;P96322;P18-00053LL;0;1;90,5205;m%;97,37;0,052;0,133;0,501;1,324;0,321;0;0,008;0;0,05;0,175;0,0024;0;0;0,0003;0;0,02;0,0005;0;0;0;0,0021;0,043;0;0;0,006;0;-675,308059
G17-0138;424932;P96322;P18-00053LL;0;1;90,6281;m%;97,38;0,052;0,133;0,501;1,324;0,321;0;0,007;0;0,05;0,175;0,0031;0,0001;0;0,0003;0;0,019;0,0003;0;0;0;0,002;0,04;0,001;0;0,006;0;-675,3165097
G17-0138;424932;P96322;P18-00053LL;0;1;90,7359;m%;97,36;0,052;0,133;0,5;1,323;0,321;0;0,007;0;0,049;0,174;0,0031;0;0;0,0004;0;0,02;0;0;0;0;0,0021;0,046;0;0;0,007;0;-675,3251148
G17-0138;424932;P96322;P18-00053LL;0;1;90,8436;m%;97,35;0,051;0,132;0,5;1,322;0,32;0;0,008;0;0,05;0,173;0,0027;0;0;0,0004;0;0,018;0;0;0;0;0,0021;0,054;0;0;0,007;0;-675,3338586
G17-0138;424932;P96322;P18-00053LL;0;1;90,9513;m%;97,35;0,052;0,132;0,5;1,323;0,32;0;0,008;0;0,051;0,173;0,0028;0;0;0,0004;0;0,017;0;0;0;0;0,0021;0,048;0,002;0;0,008;0,002;-675,3427571
G17-0138;424932;P96322;P18-00053LL;0;1;91,0411;m%;97,36;0,052;0,132;0,5;1,324;0,32;0;0,008;0;0,05;0,172;0,0026;0;0;0,0005;0;0,019;0,0009;0;0;0;0,002;0,036;0;0;0,007;0;-675,350301
G17-0138;424932;P96322;P18-00053LL;0;1;91,1489;m%;97,36;0,053;0,132;0,5;1,324;0,32;0;0,009;0;0,05;0,172;0,0026;0;0;0,0005;0;0,02;0,0005;0;0;0;0,002;0,044;0,005;0;0,007;0;-675,3595139
G17-0138;424932;P96322;P18-00053LL;0;1;91,2566;m%;97,38;0,054;0,132;0,5;1,324;0,32;0;0,008;0;0,052;0,172;0,0023;0;0;0,0005;0;0,02;0,0002;0;0;0;0,002;0,045;0,002;0;0,008;0;-675,3688976
G17-0138;424932;P96322;P18-00053LL;0;1;91,3645;m%;97,38;0,054;0,132;0,5;1,324;0,32;0;0,008;0;0,052;0,172;0,0026;0;0;0,0005;0;0,019;0,0007;0;0;0;0,0021;0,041;0;0;0,006;0;-675,3784876
G17-0138;424932;P96322;P18-00053LL;0;1;91,4723;m%;97,36;0,054;0,132;0,499;1,324;0,321;0;0,008;0;0,054;0,171;0,0026;0;0;0,0004;0;0,02;0,0013;0;0;0;0,002;0,041;0,001;0;0,007;0;-675,3882669
G17-0138;424932;P96322;P18-00053LL;0;1;91,5802;m%;97,37;0,053;0,133;0,499;1,324;0,321;0;0,008;0;0,05;0,171;0,0027;0;0;0,0005;0;0,02;0,0003;0;0;0;0,002;0,039;0,001;0;0,005;0;-675,3982635
G17-0138;424932;P96322;P18-00053LL;0;1;91,6881;m%;97,36;0,053;0,133;0,499;1,324;0,321;0;0,008;0;0,052;0,17;0,0025;0;0;0,0004;0;0,02;0,0003;0;0;0;0,002;0,044;0;0;0,006;0;-675,4084784
G17-0138;424932;P96322;P18-00053LL;0;1;91,7962;m%;97,36;0,053;0,134;0,499;1,326;0,321;0;0,008;0;0,051;0,169;0,0026;0,0001;0;0,0005;0;0,02;0;0;0;0;0,002;0,038;0,007;0;0,007;0;-675,4189414
G17-0138;424932;P96322;P18-00053LL;0;1;91,9042;m%;97,37;0,052;0,135;0,499;1,328;0,322;0;0,008;0;0,051;0,169;0,0026;0;0;0,0004;0;0,021;0,0005;0;0;0;0,0021;0,03;0,004;0;0,006;0;-675,4296346
G17-0138;424932;P96322;P18-00053LL;0;1;92,0122;m%;97,37;0,052;0,136;0,5;1,328;0,322;0;0,008;0;0,05;0,168;0,0024;0;0;0,0003;0;0,02;0,0001;0;0;0;0,0021;0,042;0,002;0;0,006;0;-675,4405783
G17-0138;424932;P96322;P18-00053LL;0;1;92,1202;m%;97,36;0,052;0,136;0,5;1,328;0,322;0;0,007;0;0,052;0,168;0,0023;0;0;0,0004;0;0,02;0,0003;0;0;0;0,0021;0,042;0;0;0,008;0;-675,4517838
G17-0138;424932;P96322;P18-00053LL;0;1;92,2282;m%;97,36;0,051;0,136;0,5;1,329;0,322;0;0,008;0;0,051;0,167;0,0022;0;0;0,0003;0;0,02;0,0013;0;0;0;0,002;0,04;0;0;0,006;0;-675,4632626
G17-0138;424932;P96322;P18-00053LL;0;1;92,3361;m%;97,36;0,051;0,137;0,5;1,329;0,322;0;0,008;0;0,056;0,167;0,0023;0;0;0,0004;0;0,021;0,0001;0;0;0;0,0021;0,031;0;0;0,007;0;-675,4750155
G17-0138;424932;P96322;P18-00053LL;0;1;92,4442;m%;97,35;0,051;0,137;0,5;1,33;0,321;0;0,008;0;0,056;0,166;0,0024;0,0001;0;0,0005;0;0,019;0,0001;0;0;0;0,002;0,034;0,001;0;0,009;0;-675,4870876
G17-0138;424932;P96322;P18-00053LL;0;1;92,5524;m%;97,36;0,05;0,138;0,5;1,331;0,321;0;0,009;0;0,056;0,166;0,0027;0,0001;0;0,0004;0;0,019;0,0008;0;0;0;0,002;0,034;0,004;0;0,008;0;-675,4994816
G17-0138;424932;P96322;P18-00053LL;0;1;92,6605;m%;97,36;0,051;0,138;0,5;1,332;0,321;0;0,008;0;0,054;0,166;0,0024;0;0;0,0004;0;0,018;0;0;0;0;0,002;0,039;0;0;0,009;0;-675,5121873
G17-0138;424932;P96322;P18-00053LL;0;1;92,7687;m%;97,36;0,05;0,138;0,5;1,332;0,321;0;0,007;0;0,054;0,166;0,0025;0;0;0,0005;0;0,018;0,0006;0;0;0;0,002;0,04;0;0;0,01;0;-675,5252413
G17-0138;424932;P96322;P18-00053LL;0;1;92,877;m%;97,36;0,05;0,138;0,5;1,331;0,321;0;0,007;0;0,054;0,166;0,0025;0;0;0,0005;0;0,022;0,0006;0;0;0;0,002;0,04;0;0;0,008;0;-675,538658
G17-0138;424932;P96322;P18-00053LL;0;1;92,9853;m%;97,35;0,05;0,138;0,5;1,33;0,321;0;0,007;0;0,055;0,165;0,0022;0;0;0,0005;0;0,02;0,0006;0;0;0;0,002;0,042;0;0;0,008;0;-675,5524393
G17-0138;424932;P96322;P18-00053LL;0;1;93,0936;m%;97,35;0,05;0,138;0,5;1,33;0,321;0;0,007;0;0,055;0,165;0,0024;0;0;0,0004;0;0,019;0,0004;0;0;0;0,002;0,046;0;0;0,007;0;-675,5665994
G17-0138;424932;P96322;P18-00053LL;0;1;93,202;m%;97,35;0,05;0,138;0,499;1,329;0,321;0;0,008;0;0,057;0,165;0,0026;0;0;0,0003;0;0,019;0;0;0;0;0,0021;0,043;0;0;0,007;0;-675,5811664
G17-0138;424932;P96322;P18-00053LL;0;1;93,3103;m%;97,36;0,049;0,137;0,499;1,328;0,321;0;0,008;0;0,059;0,165;0,0023;0;0;0,0004;0;0,02;0;0;0;0;0,002;0,049;0;0;0,007;0;-675,5961283
G17-0138;424932;P96322;P18-00053LL;0;1;93,4007;m%;97,36;0,049;0,137;0,499;1,327;0,322;0;0,007;0;0,06;0,164;0,0022;0;0;0,0004;0;0,02;0;0;0;0;0,002;0,046;0;0;0,005;0;-675,6089407
G17-0138;424932;P96322;P18-00053LL;0;1;93,5091;m%;97,35;0,048;0,137;0,499;1,326;0,323;0;0,008;0;0,059;0,164;0,0024;0;0;0,0005;0;0,02;0;0;0;0;0,0021;0,044;0;0;0,007;0;-675,6247057
G17-0138;424932;P96322;P18-00053LL;0;1;93,6176;m%;97,37;0,048;0,136;0,499;1,325;0,323;0;0,008;0;0,058;0,164;0,0024;0;0;0,0004;0;0,019;0;0;0;0;0,002;0,046;0;0;0,008;0;-675,6409387
G17-0138;424932;P96322;P18-00053LL;0;1;93,7261;m%;97,38;0,048;0,136;0,499;1,324;0,324;0;0,008;0;0,06;0,164;0,0024;0;0;0,0003;0;0,021;0,0002;0;0;0;0,002;0,035;0;0;0,008;0;-675,6576416
G17-0138;424932;P96322;P18-00053LL;0;1;93,8347;m%;97,38;0,048;0,136;0,499;1,324;0,323;0;0,008;0;0,059;0,163;0,0024;0;0;0,0004;0;0,02;0,0014;0;0;0;0,002;0,037;0;0;0,008;0;-675,6748471
G17-0138;424932;P96322;P18-00053LL;0;1;93,9433;m%;97,37;0,047;0,137;0,499;1,325;0,323;0;0,008;0;0,059;0,163;0,0024;0,0001;0;0,0004;0;0,019;0,0016;0;0;0;0,002;0,039;0;0;0,008;0;-675,6925571
G17-0138;424932;P96322;P18-00053LL;0;1;94,0519;m%;97,35;0,047;0,137;0,499;1,325;0,322;0;0,008;0;0,062;0,163;0,0026;0;0;0,0004;0;0,019;0,0003;0;0;0;0,002;0,05;0,002;0;0,009;0;-675,7107889
G17-0138;424932;P96322;P18-00053LL;0;1;94,1606;m%;97,36;0,048;0,138;0,499;1,325;0,322;0;0,007;0;0,06;0,162;0,0026;0;0;0,0003;0;0,02;0,0007;0;0;0;0,002;0,048;0;0;0,007;0;-675,7295778
G17-0138;424932;P96322;P18-00053LL;0;1;94,2693;m%;97,36;0,047;0,138;0,498;1,326;0,322;0;0,008;0;0,059;0,162;0,002;0;0;0,0004;0,001;0,02;0,0015;0;0;0;0,0021;0,044;0;0;0,007;0;-675,7489255
G17-0138;424932;P96322;P18-00053LL;0;1;94,378;m%;97,35;0,048;0,139;0,499;1,327;0,323;0;0,008;0;0,062;0,162;0,0022;0;0;0,0003;0;0,019;0,0004;0;0;0;0,002;0,046;0,006;0;0,006;0;-675,7688506
G17-0138;424932;P96322;P18-00053LL;0;1;94,4867;m%;97,36;0,048;0,14;0,499;1,328;0,322;0;0,007;0;0,063;0,161;0,0023;0;0;0,0004;0;0,02;0,0001;0;0;0;0,002;0,045;0,002;0;0,006;0;-675,789372
G17-0138;424932;P96322;P18-00053LL;0;1;94,5954;m%;97,35;0,048;0,141;0,5;1,329;0,322;0;0,008;0;0,066;0,161;0,0022;0;0;0,0005;0;0,02;0;0;0;0;0,002;0,047;0,004;0;0,006;0;-675,8105091
G17-0138;424932;P96322;P18-00053LL;0;1;94,7041;m%;97,36;0,048;0,142;0,5;1,331;0,323;0;0,008;0;0,065;0,161;0,0022;0,0001;0;0,0004;0;0,02;0,0001;0;0;0;0,002;0,044;0;0;0,006;0;-675,8322816
G17-0138;424932;P96322;P18-00053LL;0;1;94,7948;m%;97,36;0,048;0,142;0,5;1,331;0,322;0;0,008;0;0,063;0,161;0,0021;0;0;0,0004;0;0,02;0;0;0;0;0,002;0,041;0;0;0,008;0;-675,8509497
G17-0138;424932;P96322;P18-00053LL;0;1;94,9037;m%;97,33;0,048;0,142;0,499;1,332;0,323;0;0,008;0;0,067;0,161;0,0022;0;0;0,0004;0;0,02;0;0;0;0;0,002;0,05;0;0;0,006;0;-675,8739835
G17-0138;424932;P96322;P18-00053LL;0;1;95,0126;m%;97,34;0,048;0,142;0,499;1,331;0,324;0;0,008;0;0,069;0,16;0,0026;0;0;0,0004;0;0,02;0;0;0;0;0,0021;0,044;0,001;0;0,005;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;95,1215;m%;97,33;0,049;0,142;0,499;1,33;0,324;0;0,007;0;0,068;0,16;0,0026;0;0;0,0003;0;0,021;0;0;0;0;0,002;0,034;0,002;0;0,007;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;95,2306;m%;97,33;0,048;0,142;0,499;1,33;0,325;0;0,007;0;0,067;0,16;0,0025;0;0;0,0003;0;0,02;0;0;0;0;0,002;0,04;0;0;0,006;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;95,3397;m%;97,34;0,048;0,142;0,5;1,33;0,325;0;0,008;0;0,068;0,16;0,0022;0;0;0,0004;0;0,019;0;0;0;0;0,002;0,047;0,001;0;0,008;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;95,4487;m%;97,33;0,048;0,142;0,5;1,329;0,325;0;0,007;0;0,07;0,16;0,0025;0,0001;0;0,0004;0;0,022;0,0005;0;0;0;0,002;0,045;0,013;0;0,007;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;95,5578;m%;97,35;0,048;0,142;0,5;1,328;0,325;0;0,007;0;0,068;0,16;0,0025;0;0;0,0003;0;0,021;0,0006;0;0;0;0,002;0,046;0,003;0;0,008;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;95,6669;m%;97,35;0,048;0,141;0,499;1,327;0,325;0;0,008;0;0,073;0,159;0,0028;0;0;0,0005;0;0,021;0;0;0;0;0,0021;0,045;0,003;0;0,007;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;95,776;m%;97,34;0,047;0,141;0,499;1,326;0,325;0;0,008;0;0,07;0,158;0,0028;0;0;0,0004;0;0,019;0,0001;0;0;0;0,002;0,046;0;0;0,007;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;95,867;m%;97,35;0,048;0,141;0,5;1,324;0,325;0;0,008;0;0,07;0,158;0,0025;0;0;0,0003;0;0,019;0,0003;0;0;0;0,002;0,046;0,001;0;0,008;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;95,9762;m%;97,34;0,047;0,141;0,5;1,324;0,325;0;0,008;0;0,073;0,157;0,0025;0;0;0,0005;0;0,02;0,0006;0;0;0;0,002;0,047;0,004;0;0,009;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;96,0854;m%;97,35;0,047;0,14;0,5;1,323;0,325;0;0,008;0;0,072;0,157;0,0025;0;0;0,0004;0;0,02;0,0003;0;0;0;0,002;0,047;0,008;0;0,01;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;96,1946;m%;97,35;0,047;0,14;0,5;1,323;0,325;0;0,007;0;0,069;0,156;0,0026;0;0;0,0005;0;0,02;0,0011;0;0;0;0,002;0,046;0,002;0;0,008;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;96,3039;m%;97,35;0,047;0,14;0,501;1,322;0,326;0;0,008;0;0,073;0,156;0,0026;0;0;0,0004;0;0,02;0,0008;0;0;0;0,002;0,045;0;0;0,005;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;96,4131;m%;97,35;0,047;0,14;0,501;1,321;0,325;0;0,008;0;0,078;0,155;0,0025;0;0;0,0004;0;0,02;0;0;0;0;0,002;0,045;0;0;0,006;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;96,5225;m%;97,35;0,047;0,139;0,501;1,319;0,325;0;0,007;0;0,074;0,155;0,0026;0;0;0,0004;0;0,02;0,0002;0;0;0;0,002;0,046;0;0;0,008;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;96,6319;m%;97,35;0,047;0,139;0,501;1,318;0,325;0;0,007;0;0,076;0,155;0,0025;0;0;0,0004;0;0,021;0,0007;0;0;0;0,002;0,043;0,005;0;0,008;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;96,7414;m%;97,35;0,047;0,139;0,501;1,317;0,325;0;0,007;0;0,074;0,155;0,0026;0;0;0,0004;0;0,021;0;0;0;0;0,0021;0,041;0,003;0;0,008;0;NAN
G17-0138;424932;P96322;P18-00053LL;0;1;96,8326;m%;97,37;0,048;0,138;0,501;1,316;0,325;0;0,007;0;0,075;0,155;0,0026;0;0;0,0004;0;0,021;0,0001;0;0;0;0,002;0,037;0,001;0;0,006;0;NAN
